year_month,source_medium,sessions,engaged_sessions,purchases,revenue,users
202512,ecosia.org / organic,61,41,5,873.0,28
202602,OrderlyEmails / email,61,40,12,857.93,23
202507,judgeme / email,60,28,0,0.0,42
202510,IGShopping / Social,60,32,0,0.0,49
202511,duckduckgo / organic,60,44,0,0.0,45
202512,bing / organic,60,35,3,327.07,27
202604,(data not available),60,43,2,187.0,56
202506,le-petit-lunetier.typeform.com / referral,59,29,1,59.0,29
202601,duckduckgo / organic,59,42,1,49.0,42
202602,ONLINE - Footer site - Welcome / email,59,28,1,118.0,33
202605,duckduckgo / organic,59,38,1,69.0,36
202508,ONLINE - Footer site - Welcome / email,58,32,0,0.0,27
202603,OrderlyEmails / email,58,38,7,755.48,18
202603,redirect-euw1.ppro.com / referral,58,18,1,66.99,31
202604,qwant.com / organic,58,49,1,49.0,46
202507,ONLINE - Footer site - Welcome / email,57,35,2,144.09,33
202509,savoo.fr / referral,57,23,3,194.98,14
202602,duckduckgo / organic,57,38,1,31.99,42
202506,Facebook / Paid Social,56,46,0,0.0,55
202506,ma-reduc.com / referral,56,26,0,0.0,25
202509,IGShopping / Social,56,28,0,0.0,43
202511,judgeme / email,56,30,0,0.0,31
202512,Klaviyo / email,56,29,0,0.0,29
202601,judgeme / email,56,16,1,89.0,34
202602,qwant.com / organic,56,46,1,198.0,42
202603,chatgpt.com / (not set),56,37,2,149.98,38
202604,duckduckgo / organic,56,45,1,158.0,43
202507,commeuncamion.com / referral,55,38,0,0.0,40
202506,lepetitlunetier.aftership.com / referral,54,30,0,0.0,27
202507,(data not available),54,45,0,0.0,47
202601,OrderlyEmails / email,54,30,8,479.46,21
202603,socialmedia / influence,53,33,0,0.0,48
202508,youtube.com / referral,52,42,1,80.1,37
202511,chatgpt.com / referral,52,40,0,0.0,42
202603,ONLINE - Footer site - Welcome / email,52,32,3,198.99,29
202508,(data not available),51,43,0,0.0,49
202511,savoo.fr / referral,51,26,4,297.26,20
202507,chatgpt.com / referral,50,31,0,0.0,30
202509,judgeme / email,50,16,0,0.0,33
202510,duckduckgo / organic,50,32,0,0.0,31
202510,judgeme / email,50,25,0,0.0,34
202508,qwant.com / organic,49,33,0,0.0,34
202509,duckduckgo / organic,49,39,0,0.0,45
202510,qwant.com / organic,49,38,2,126.09,37
202510,zipchat / chat_bubble,49,19,1,258.2,18
202605,shop.app / referral,49,32,3,181.0,26
